Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value
(incl GST)",SupplierName,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,Mobile Women's Health Service in Rural & Remote Qld Strategic Plan Development,2020-10-01T00:00:00,"26,620.00",Enable Health Strategies,123 Swan St Gordan Park Q 4031,No,,,,,,,,,4300957009,General Goods and Services,,2020-10-05T00:00:00,2021-04-01T00:00:00,46630429015
DoH_PD,33 Charlotte Street,ACCF -  Cancer Screening Promotion,2020-10-08T00:00:00,"13,200.00",Australian Cervical Cancer Foundation,"5/269 Wickham Street, Fortitude Valley, Qld, Australia, 4006",No,,,,,,,,,,General Goods and Services,,2020-10-08T00:00:00,2020-11-30T00:00:00,14128546850
DoH_PD,33 Charlotte Street,Printing - The Health of Queenslanders Report  2020,2020-10-16T00:00:00,"12,512.50",Cornerstone Press,"LEVEL 1, 97 WARRY STREET
FORTITUDE VALLEY QLD 4006",No,,,,,,,,,,General Goods and Services,,2020-10-16T00:00:00,2020-11-30T00:00:00,13213036368
DoH_PD,33 Charlotte Street,Dialog Extension for Hosting and Support,2020-11-13T00:00:00,"246,732.20",Dialog Information Technology,"Level 7 35 Boundary Street, South Brisbane 4101",Yes,,,,,,,,,4301061591,Information and Communication Technology,,2020-11-13T00:00:00,2021-11-13T00:00:00,1601009175
DoH_PD,33 Charlotte Street,Graphic Design - The Health of Queenslanders Report  2020,2020-11-25T00:00:00,"23,559.36",Salt Design,L1/97 WARRY ST FORTITUDE VALLEY QLD 4006,No,No,,,,,,,,4301024513,General Goods and Services,,2020-11-25T00:00:00,2020-12-31T00:00:00,72114837455
DoH_PD,33 Charlotte Street,Volpara Enterprise Base Software and License ,2020-12-18T00:00:00,"825,000.00",Volpara Solutions Australia Pty Ltd,"Suite 9, Level 1, 357 Military Road, Mosman  NSW  2088",No,,SOA,,,,,,,PD108883,Information and Communication Technology,SOA BSQSOA-202006_1 ,2020-12-18T00:00:00,2025-12-17T00:00:00,616107496
DoH_PD,35 Charlotte Street,FoodChecker Lic. DoH& HHSs,2020-12-24T00:00:00,"75,306.00",Nutrition Australia (NA Vic) ,118 Cardigan St Carlton 3053,No,No,,,,,,,,4300205150,General Goods and Services,,2020-12-24T00:00:00,2021-12-31T00:00:00,29767398718
DoH_PD,33 Charlotte Street,ICT Contingent Labour,2021-01-04T00:00:00,"44,495.22",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-25,Information and Communication Technology,GGS0060,2021-01-04T00:00:00,2021-06-27T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingent Labour,2021-01-04T00:00:00,"165,528.00",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-20,Information and Communication Technology,GGS0060,2020-12-21T00:00:00,2021-09-12T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-01-04T00:00:00,"263,421.49",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-19,Information and Communication Technology,GGS0060,2021-01-04T00:00:00,2022-01-03T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-01-04T00:00:00,"131,793.75",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-4,Information and Communication Technology,GGS0060,2021-01-04T00:00:00,2022-01-03T00:00:00,28080275378
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-01-04T00:00:00,"256,397.50",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-22,Information and Communication Technology,GGS0060,2021-01-04T00:00:00,2022-01-03T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-01-04T00:00:00,"289,905.00",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-18,Information and Communication Technology,GGS0060,2021-01-04T00:00:00,2022-01-03T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-01-04T00:00:00,"261,632.36",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-17,Information and Communication Technology,GGS0060,2021-01-04T00:00:00,2022-01-03T00:00:00,70600569784
DoH_PD,33 Charlotte Street,GP Education Package,2021-01-15T00:00:00,"11,000.00",True Relationships & Reproductive Health,230 Lutwych Road WINDSOR QLD 4030,No,Yes,,,,,,,,PD108884,General Goods and Services,PD108884,2021-01-15T00:00:00,2021-12-31T00:00:00,61009860164
DoH_PD,33 Charlotte Street,Reading Workstation and associated monitors for reading of BreastScreen Queensland images,2021-01-18T00:00:00,"19,613.00",Arcadia Corporation Pty Ltd,801/97 PACIFIC HWY NORTH SYDNEY   NSW  2000,No,,,,,,,,,4301125119,Information and Communication Technology,,2021-01-18T00:00:00,2021-03-30T00:00:00,52075770277
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-02-01T00:00:00,"74,050.86",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-14-2,Information and Communication Technology,GGS0060,2021-02-01T00:00:00,2021-07-04T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Cancer Screening - Online Panel survey,2021-02-01T00:00:00,"11,883.30",Ipsos Public Affairs Pty Ltd,L3/80 STAMFORD RD INDOOROOPILLY QLD 4068,No,,,,,,,,,4301372178,General Goods and Services,,2021-05-10T00:00:00,2021-06-30T00:00:00,52070101352
DoH_PD,33 Charlotte Street,BSQ Survey - Infographics,2021-03-04T00:00:00,"14,472.70",Ipsos Public Affairs Pty Ltd,L3/80 STAMFORD RD INDOOROOPILLY QLD 4068,No,,,,,,,,,PD107154-1,General Goods and Services,,2021-03-04T00:00:00,2021-05-31T00:00:00,52070101352
DoH_PD,33 Charlotte Street,Cancer Screening interactive videos ,2021-03-04T00:00:00, -   ,Healthily Pty Ltd,"Suite 2, Level 5,492 St Kild Road, Melbourne VIC 3002",Yes,,,,,,,,,PD107136,General Goods and Services,,2021-03-04T00:00:00,2022-06-30T00:00:00,78613342635
DoH_PD,33 Charlotte Street,IPND Trial-Telephone Survey ,2021-03-22T00:00:00,"14,850.00",The Social Research Centre Pty Ltd,L 9/277 WILLIAM ST MELBOURNE  VIC  3000,No,,,,,,,,,4301261956,Information and Communication Technology,,2021-03-22T00:00:00,2021-06-30T00:00:00,91096153212
DoH_PD,33 Charlotte Street,Qlik Geoanalytics Enterprise ,2021-03-31T00:00:00,"12,456.40",Aginic Holdings,Level 1 Firhall 1354 Wickham Tce Spring Hill Qld 4000,No,,,,,,,,,4300465135,Information and Communication Technology,,2021-03-31T00:00:00,2022-03-31T00:00:00,89618003419
DoH_PD,33 Charlotte Street,BSPHN CS Increase Participation Rates ,2021-04-01T00:00:00,"41,250.00",Brisbane South PHN,"First Floor Building 20, garden City Office Park, 2404 Logan Road, Eight Miles  Plains, Qld 4113",Yes,,,,,,,,,PD106726,Information and Communication Technology,,2021-04-01T00:00:00,2021-12-31T00:00:00,53151707765
DoH_PD,33 Charlotte Street,BNPHN CS Increase Participation Rates,2021-04-01T00:00:00,"41,250.00",Brisbane North PHN,"Level 1 Chalk St, Lutwhyche Q4030",Yes,,,,,,,,,PD106564,Information and Communication Technology,,2021-04-01T00:00:00,2021-12-31T00:00:00,55150102257
DoH_PD,33 Charlotte Street,DDWMPHN CS Increase Participation Rates,2021-04-01T00:00:00,"41,250.00",Darling Downs West Moreton PHN,"Level 1/162 Hume St, Toowoomba, QLD 4350",Yes,,,,,,,,,PD106727,Information and Communication Technology,,2021-04-01T00:00:00,2021-12-31T00:00:00,51605975602
DoH_PD,33 Charlotte Street,GCPHN CS Increase Participation Rates ,2021-04-01T00:00:00,"41,250.00",Gold Coast PHN,Level 1. 14 Edgewater Court Robina Qld 4226,Yes,,,,,,,,,PD106728,Information and Communication Technology,,2021-04-01T00:00:00,2021-12-31T00:00:00,47152953092
DoH_PD,33 Charlotte Street,NQPHN CS Increase Participation Rates ,2021-04-01T00:00:00,"41,250.00",North Queensland PHN,"Suite 3, level 1, Post Office Square, 66-69 Sydney St, Mackay Qld 4740",Yes,,,,,,,,,PD106729,Information and Communication Technology,,2021-04-01T00:00:00,2021-12-31T00:00:00,35605757640
DoH_PD,33 Charlotte Street,Optimisation of BSQ pre-booked appointments,2021-04-05T00:00:00,"27,720.00",KEY DATA CONSULTING,L7/127 CREEK STREET BRISBANE QLD 4000,No,,,,,,,,,PD110261,Information and Communication Technology,,2021-04-05T00:00:00,2021-05-04T00:00:00,35166323271
DoH_PD,33 Charlotte Street,AU&NZ Menu Labelling Reform,2021-04-12T00:00:00,"50,000.00",Department Of Health,"Department Of Health, Canberra ACT  2601",No,,,,,,,,,4301306697,Information and Communication Technology,,2021-04-12T00:00:00,2021-04-12T00:00:00,83605426759
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-05-03T00:00:00,"254,818.96",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,,,,,,,,,PD106367-2,Information and Communication Technology,GGS0060,2021-05-03T00:00:00,2022-07-03T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Preventive Health Behavioural Data,2021-05-15T00:00:00,"9,900.00",Queensland University Of Technology,2 George Street BRISBANE  QLD   4000,No,,,,,,,,,PD110470,Information and Communication Technology,,2021-05-15T00:00:00,2021-06-30T00:00:00,83791724622
DoH_PD,33 Charlotte Street,National research on impacts of smoking,2021-05-31T00:00:00,"11,000.00",Cancer Council Queensland,PO Box 201 SPRING HILL QLD 4004,No,,,,,,,,,4301409695,Information and Communication Technology,,2021-05-31T00:00:00,2021-06-30T00:00:00,48321126727
DoH_PD,33 Charlotte Street,Systems Analysis Project,2021-06-09T00:00:00,"792,660.00",The Sax Institute,L13/235 Jones Street ULTIMO  NSW  2007,No,Yes,SOA,,,,,,,PD110981,Information and Communication Technology,QGP0050-18,2021-06-11T00:00:00,2022-06-30T00:00:00,68095542886
DoH_PD,33 Charlotte Street,Office Furniture,2021-06-15T00:00:00,"22,345.36",Empire Office Furniture,61 IPSWICH RD WOOLLOONGABBA   QLD  4102,No,,,,,,,,,4301446204,Information and Communication Technology,,2021-06-15T00:00:00,2021-06-30T00:00:00,33268623611
DoH_PD,33 Charlotte Street,Additional  consultation and engagement for the National Obesity Strategy,2021-06-29T00:00:00, - ,The Trustee for The Social Deck Trust,Office 2 16 Sunshine Beach Rd Noosa QLD 4567 ,Yes,,,,,,,,,PD103258-1,Information and Communication Technology,QGP0050-18,2022-06-29T00:00:00,2022-03-31T00:00:00,600044728
DoH_PD,33 Charlotte Street,Epidemiology & Realtime Dashboard and Transmission Analysis tool,2020-08-28T00:00:00,"858,000.00",Dspark Pty Limited,"1-7 Lyonpark Road, Macquarie Park  NSW  2113",No,Yes,Limited,,,,,,,PD107223,Information and Communication Technology,,2020-08-28T00:00:00,2021-03-31T00:00:00,23002864897
DoH_PD,33 Charlotte Street,Collaborative Research Agreement,2020-10-08T00:00:00,"200,000.00",University Of Western Australia,35 STIRLING HWY CRAWLEY  WA  6009,No,,,,,,,,,PD109311,Information and Communication Technology,,2020-09-28T00:00:00,2021-01-31T00:00:00,37882817280
DoH_PD,33 Charlotte Street,UQ Project_N95 Mask Fitment,2020-11-13T00:00:00,"110,000.00",University Of Queensland,The University of Queensland St Lucia QLD 4072,No,,,,,,,,,PD110258,General Goods and Services,,2020-11-13T00:00:00,2021-08-12T00:00:00,63942912684
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-11-27T00:00:00,"141,432.61",ASG Group,LEVEL 1 267 GEORGES TERRACE  PERTH  WA  6000,No,No,,,,,,,,PD108134,General Goods and Services,GGS0060,2020-11-27T00:00:00,2021-06-30T00:00:00,57070045117
DoH_PD,33 Charlotte Street,COVID 19 Vaccine Support,2020-12-07T00:00:00,"178,200.00",Deloitte Touche Tohmatsu,L25  26 RIVERSIDE CNT 123 EAGLE ST  BRISBANE  4000,No,,,,,,,,,4301051507,General Goods and Services,,2020-12-07T00:00:00,2020-12-18T00:00:00,74490121060
DoH_PD,33 Charlotte Street,COVID 19 Vaccine Support,2021-01-04T00:00:00,"1,610,471.50",Deloitte Touche Tohmatsu,L25  26 RIVERSIDE CNT 123 EAGLE ST  BRISBANE  4000,No,,SOA,,,,,,,PD108446,General Goods and Services,,2021-01-04T00:00:00,2021-04-03T00:00:00,74490121060
DoH_PD,33 Charlotte Street,Exemption and Waiver service project,2021-02-01T00:00:00,"158,791.60",Ernst & Young Pty Ltd,111 EAGLE STREET  BRISBANE  QLD  4000,No,,,,,,,,,PD110397,General Goods and Services,QGCPO050-18,2021-02-02T00:00:00,2021-06-08T00:00:00,75288172749
DoH_PD,33 Charlotte Street,COVID CALD Engagement Project,2021-02-18T00:00:00,"241,105.70",MATER MISERICORDIAE HEALTH SERVICES,RAYMOND TCE SOUTH BRISBANE  QLD  4000,No,,,,,,,,,PD108995,General Goods and Services,,2021-02-18T00:00:00,2021-12-31T00:00:00,83096708922
DoH_PD,33 Charlotte Street,Genomics & Precision Medicine Pilot,2021-02-22T00:00:00,"336,600.00",Max Kelsen Pty Ltd,SE1 36 AGNES ST FORTITUDE VALLEY  QLD 4006,No,,,,,,,,,PD109000,General Goods and Services,,2021-02-22T00:00:00,2021-05-14T00:00:00,36604456331
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-03-01T00:00:00,"59,281.20",ASG Group,LEVEL 1 267 GEORGES TERRACE  PERTH  WA  6000,No,,,,,,,,,PD109694,General Goods and Services,GGS0060,2021-03-01T00:00:00,2021-06-30T00:00:00,57070045117
DoH_PD,33 Charlotte Street,Deliver webinar master classes for clinician researchers,2021-03-24T00:00:00,"27,500.00",The Prince Charles Hospital Foundation,627 RODE RD CHERMSIDE  QLD  4032,No,,,,,,,,,PD110237,General Goods and Services,,2021-03-24T00:00:00,2021-09-23T00:00:00,34853168302
DoH_PD,33 Charlotte Street,Epidemiology & Realtime Dashboard and Transmission Analysis Tool,2021-04-01T00:00:00,"1,336,500.00",Dspark Pty Limited,"1 LYONPARK RD, MACQUARIE PARK  NSW  2113",Yes,,Limited,,,,,,,PD107723,Information and Communication Technology,,2021-04-01T00:00:00,2021-12-31T00:00:00,23002864897
DoH_PD,33 Charlotte Street,COVID-19 Transmission projections,2021-04-06T00:00:00,"30,000.00",Finity Actuarial and Insurance Consultants,"Level 7, 68 Harringotn Street, The Rocks  NSW  2000",No,,,,,,,,,,General Goods and Services,,2021-04-06T00:00:00,2021-04-13T00:00:00,89111470270
DoH_PD,33 Charlotte Street,Consultation and delivery of agreed courses ,2021-04-30T00:00:00,"28,952.07",Benestar Group Pty Ltd,L3/44 MARKET STREET SYDNEY  NSW 2000,No,,,,,,,,,,General Goods and Services,,2021-04-30T00:00:00,2021-06-08T00:00:00,61003536472
DoH_PD,33 Charlotte Street,COVID Critical projects,2021-06-17T00:00:00,"275,000.00",The Prince Charles Hospital Foundation,627 RODE RD CHERMSIDE  QLD  4032,No,,,,,,,,,PD110852,Information and Communication Technology,,2021-06-17T00:00:00,2022-06-30T00:00:00,34853168302
DoH_PD,33 Charlotte Street,Secondment Agreement,2020-01-29T00:00:00,"373,534.14",Menzies School Of Health Research,"John Matthews Building, Building 58, Royal Darwin Hospital Campus, Tiwi NT 0810",No,,,,,,,,,4300914453,General Goods and Services,,2020-01-29T00:00:00,2021-06-30T00:00:00,70413542847
DoH_PD,33 Charlotte Street,COVID testing,2020-06-24T00:00:00,"36,089.97",Mater Misericordiae Ltd,PO Box 8058 WOOLLOONGABBA QLD 4101,No,No,,,,,,,,,General Goods and Services,,2020-06-24T00:00:00,2020-08-12T00:00:00,83096708922
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-07-01T00:00:00,"96,607.90",DAVIDSON RECRUITMENT PTY LTD ,GPO Box 2572  BRISBANE QLD 4000 ,No,No,,,,,,,,PD106406-1,General Goods and Services,GGS0060,2020-07-01T00:00:00,2021-03-31T00:00:00,65244757179
DoH_PD,33 Charlotte Street,Staffing costs,2020-07-07T00:00:00,"14,244.24",Brisbane City Council,PO Box 1434 BRISBANE QLD 4001,No,No,,,,,,,,,General Goods and Services,,2020-07-07T00:00:00,2020-08-12T00:00:00,72002765795
DoH_PD,33 Charlotte Street,Staffing costs,2020-07-30T00:00:00,"13,072.93",Noosa Shire Council,PO Box 141 TEWANTIN QLD 4565,No,No,,,,,,,,,General Goods and Services,,2020-07-30T00:00:00,2020-09-18T00:00:00,97969214121
DoH_PD,33 Charlotte Street,Secure Car parking,2020-07-31T00:00:00,"179,906.02",Secure Parking Pty Ltd,L13/100 MILLER ST NORTH SYDNEY  NSW  2060,No,No,,,,,,,,,General Goods and Services,,2020-07-31T00:00:00,2021-06-11T00:00:00,31669236037
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-10-21T00:00:00,"100,896.58",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-5,General Goods and Services,GGS0060,2020-10-21T00:00:00,2021-06-30T00:00:00,28080275378
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-10-21T00:00:00,"52,205.63",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-5,General Goods and Services,GGS0060,2020-10-21T00:00:00,2021-01-31T00:00:00,28080275378
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-10-22T00:00:00,"110,405.74",DAVIDSON RECRUITMENT PTY LTD ,GPO Box 2572  BRISBANE QLD 4000 ,No,No,,,,,,,,PD106404-2,General Goods and Services,GGS0060,2020-10-22T00:00:00,2021-04-30T00:00:00,65244757179
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-10-22T00:00:00,"34,691.75",DAVIDSON RECRUITMENT PTY LTD ,GPO Box 2572  BRISBANE QLD 4000 ,No,No,,,,,,,,PD106404-3,General Goods and Services,GGS0060,2020-10-22T00:00:00,2021-02-02T00:00:00,65244757179
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-10-29T00:00:00,"39,729.89",DAVIDSON RECRUITMENT PTY LTD ,GPO Box 2572  BRISBANE QLD 4000 ,No,No,,,,,,,,PD106404-4,General Goods and Services,GGS0060,2020-10-29T00:00:00,2021-01-14T00:00:00,65244757179
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-10-29T00:00:00,"75,170.61",DAVIDSON RECRUITMENT PTY LTD ,GPO Box 2572  BRISBANE QLD 4000 ,No,No,,,,,,,,PD106404-4,General Goods and Services,GGS0060,2020-10-29T00:00:00,2021-01-14T00:00:00,65244757179
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-11-19T00:00:00,"38,494.71",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-6,General Goods and Services,GGS0060,2020-11-19T00:00:00,2021-01-31T00:00:00,28080275378
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-11-30T00:00:00,"56,208.28",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-8,General Goods and Services,GGS0060,2020-11-30T00:00:00,2021-06-30T00:00:00,28080275378
DoH_PD,33 Charlotte Street,ICT Contingency labour,2021-01-15T00:00:00,"80,326.50",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-28,General Goods and Services,GGS0060,2021-01-15T00:00:00,2021-05-28T00:00:00,65244757179
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-02-01T00:00:00,"57,728.73",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-10,General Goods and Services,GGS0060,2021-02-01T00:00:00,2021-08-22T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Air Purifers,2021-03-05T00:00:00,"76,007.80",Quantum Healthcare,"22 ROSEBERY AVE, ROSEBERY  NSW  2018",No,No,,,,,,,,4301228624,General Goods and Services,,2021-03-05T00:00:00,2021-03-31T00:00:00,79085446653
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-03-08T00:00:00,"50,134.35",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-13,General Goods and Services,GGS0060,2021-03-08T00:00:00,2021-06-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-03-22T00:00:00,"21,290.90",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-18,General Goods and Services,GGS0060,2021-03-22T00:00:00,2021-06-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Air Purifers,2021-03-23T00:00:00,"76,007.80",Quantum Healthcare,"22 ROSEBERY AVE, ROSEBERY  NSW  2018",No,No,,,,,,,,4301267888,General Goods and Services,,2021-03-23T00:00:00,2021-04-17T00:00:00,79085446653
DoH_PD,33 Charlotte Street,Air Purifers,2021-05-31T00:00:00,"152,015.60",Quantum Healthcare,"22 ROSEBERY AVE, ROSEBERY  NSW  2018",No,No,,,,,,,,4301409854,General Goods and Services,,2021-05-31T00:00:00,2021-06-30T00:00:00,79085446653
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-11-23T00:00:00,"93,511.44",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-7,General Goods and Services,GGS0060,2020-11-23T00:00:00,2021-08-15T00:00:00,21002888762
DoH_PD,33 Charlotte Street,"Training, support, licence",2020-12-16T00:00:00,"50,444.00",Community Information Support(3017809),"5 Green Square Cl, Fortitude Valley QLD 4006",No,No,,,,,,,,,General Goods and Services,,2020-12-16T00:00:00,2021-02-02T00:00:00,30143384043
DoH_PD,33 Charlotte Street,My Community Platform - Support & Access,2020-12-16T00:00:00,"216,000.00",Community Information Support(3017809),"5 Green Square Cl, Fortitude Valley QLD 4006",No,No,,,,,,,,,General Goods and Services,,2020-12-16T00:00:00,2021-02-02T00:00:00,30143384043
DoH_PD,33 Charlotte Street,Refrigeration materials,2021-01-04T00:00:00,"105,062.10",Thermo Fisher Scientific Aust P/L,5 CARIBBEAN DR SCORESBY  VIC  3179,No,No,,,,,,,,4301099960,General Goods and Services,,2021-01-04T00:00:00,2021-01-14T00:00:00,52058390917
DoH_PD,33 Charlotte Street,Refrigeration materials,2021-01-05T00:00:00,"295,973.00",Bio-Strategy Pty Limited,PO BOX 14 CAMPBELLFIELD  VIC  3061,No,No,,,,,,,,4301101208,General Goods and Services,,2021-01-05T00:00:00,2021-01-14T00:00:00,78105668282
DoH_PD,33 Charlotte Street,Interchange Agreement,2021-01-04T00:00:00,"136,932.44",Logan City Council,150 Wembley Road Logan Central QLD  4114,No,,,,,,,,,PD110259,General Goods and Services,,2021-01-04T00:00:00,2021-06-30T00:00:00,21627796435
DoH_PD,33 Charlotte Street,Secondment Agreement,2021-01-18T00:00:00,"175,896.60",Mater Misericordiae Ltd,RAYMOND TCE SOUTH BRISBANE  QLD  4000,No,,,,,,,,,PD109695,General Goods and Services,,2021-01-18T00:00:00,2021-06-30T00:00:00,50148130349
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-01-22T00:00:00,"100,619.20",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-9,General Goods and Services,GGS0060,2021-01-22T00:00:00,2021-09-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,VCC Fitout Furniture,2021-02-05T00:00:00,"13,035.00",Incorporate Space,3/95 GARDENS DR WILLAWONG  QLD  4110,No,No,,,,,,,,4301164108,General Goods and Services,,2021-02-05T00:00:00,2021-06-30T00:00:00,73117227764
DoH_PD,33 Charlotte Street,COVID-19 Vaccination Command Centre,2021-02-05T00:00:00,"63,116.90",Breffni Ceilings & Partitions Pty Ltd,1/35 INGLESTON RD WAKERLEY  QLD  4153,No,No,,,,,,,,4301164117,General Goods and Services,,2021-02-05T00:00:00,2021-06-30T00:00:00,78164847714
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-02-10T00:00:00,"106,329.59",HUDSON GLOBAL RESOURCES (AUST) PTY LTD,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-11 ,General Goods and Services,GGS0060,2021-02-10T00:00:00,2021-08-15T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Translational simulation system testing,2021-02-18T00:00:00,"132,927.85",MATER MISERICORDIAE HEALTH SERVICES,RAYMOND TCE SOUTH BRISBANE  QLD  4000,No,,,,,,,,,PD109696,General Goods and Services,,2021-02-18T00:00:00,2021-12-31T00:00:00,83096708922
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-03-08T00:00:00,"28,501.79",HUDSON GLOBAL RESOURCES (AUST) PTY LTD,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-12,General Goods and Services,GGS0060,2021-03-08T00:00:00,2021-04-23T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-03-22T00:00:00,"78,648.50",HUDSON GLOBAL RESOURCES (AUST) PTY LTD,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-14,General Goods and Services,GGS0060,2021-03-22T00:00:00,2021-08-01T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Membership fees,2021-03-29T00:00:00,"11,495.00",Hg Leadership Pty Ltd,SE 8  L 2  1 MCLAREN ST NORTH SYDNEY NSW  2059,No,No,,,,,,,,,General Goods and Services,,2021-03-29T00:00:00,2021-05-20T00:00:00,56627036855
DoH_PD,33 Charlotte Street,COVID 19 Vaccine Support,2021-03-30T00:00:00,"4,634,234.00",Deloitte Touche Tohmatsu,L25  26 RIVERSIDE CNT 123 EAGLE ST  BRISBANE  4000,Yes,,SOA,,,,,,,PD108446,General Goods and Services,QGP0050-18,2021-03-30T00:00:00,2021-12-31T00:00:00,74490121060
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-04-01T00:00:00,"9,549.53",DAVIDSON RECRUITMENT PTY LTD ,GPO Box 2572  BRISBANE QLD 4000 ,No,No,,,,,,,,PD106404-1-1,General Goods and Services,GGS0060,2021-04-01T00:00:00,2021-06-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-04-12T00:00:00,"60,226.09",HUDSON GLOBAL RESOURCES (AUST) PTY LTD,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-16,General Goods and Services,GGS0060,2021-04-12T00:00:00,2021-09-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-04-12T00:00:00,"60,226.09",HUDSON GLOBAL RESOURCES (AUST) PTY LTD,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-17,General Goods and Services,GGS0060,2021-04-12T00:00:00,2021-09-30T00:00:00,21002888762
